2026-06-03 17:37:47.945 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 17:37:47.946 | INFO     | __main__:<module>:33 - 日志模块测试消息
2026-06-03 17:38:02.056 | ERROR    | app.clients.milvus_utils:get_milvus_client:30 - Milvus客户端连接异常：<MilvusException: (code=2, message=Fail connecting to server on 47.94.86.115:19530, illegal connection params or server unavailable)>
2026-06-03 17:38:22.996 | ERROR    | app.clients.minio_utils:<module>:46 - MinIO客户端初始化失败，错误信息：HTTPConnectionPool(host='47.94.86.115', port=9000): Max retries exceeded with url: /knowledge-base-files?location= (Caused by NewConnectionError("HTTPConnection(host='47.94.86.115', port=9000): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。"))
2026-06-03 17:50:57.775 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 17:51:55.550 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 17:51:55.904 | INFO     | __main__:node_entry:33 - >>> 开始执行节点: node_entry
2026-06-03 17:51:55.904 | INFO     | __main__:node_entry:44 - 【node_entry】收到文件路径: E:\agent\PythonProject\dataset_rag\doc\hak180产品安全手册.pdf
2026-06-03 17:51:55.904 | INFO     | __main__:node_entry:50 - 【node_entry】文件类型: PDF，开启PDF解析流程
2026-06-03 17:51:55.904 | INFO     | __main__:node_entry:66 - 【node_entry】文件标题: hak180产品安全手册
2026-06-03 17:51:55.905 | INFO     | __main__:node_entry:72 - 【node_entry】输出目录: E:\agent\PythonProject\dataset_rag\output
2026-06-03 17:51:55.905 | INFO     | __main__:node_entry:76 - >>> 节点执行完成: node_entry
2026-06-03 17:51:55.906 | INFO     | __main__:node_entry:33 - >>> 开始执行节点: node_entry
2026-06-03 17:51:55.906 | INFO     | __main__:node_entry:44 - 【node_entry】收到文件路径: E:\agent\PythonProject\dataset_rag\doc\example.md
2026-06-03 17:51:55.906 | INFO     | __main__:node_entry:55 - 【node_entry】文件类型: Markdown，开启MD解析流程
2026-06-03 17:51:55.906 | INFO     | __main__:node_entry:66 - 【node_entry】文件标题: example
2026-06-03 17:51:55.907 | INFO     | __main__:node_entry:72 - 【node_entry】输出目录: E:\agent\PythonProject\dataset_rag\output
2026-06-03 17:51:55.907 | INFO     | __main__:node_entry:76 - >>> 节点执行完成: node_entry
2026-06-03 17:51:55.908 | INFO     | __main__:node_entry:33 - >>> 开始执行节点: node_entry
2026-06-03 17:51:55.908 | INFO     | __main__:node_entry:44 - 【node_entry】收到文件路径: E:\agent\PythonProject\dataset_rag\doc\example.txt
2026-06-03 17:51:55.908 | WARNING  | __main__:node_entry:60 - 【node_entry】不支持的文件类型: .txt，仅支持 .pdf 和 .md
2026-06-03 17:51:55.908 | INFO     | __main__:node_entry:66 - 【node_entry】文件标题: example
2026-06-03 17:51:55.909 | INFO     | __main__:node_entry:72 - 【node_entry】输出目录: E:\agent\PythonProject\dataset_rag\output
2026-06-03 17:51:55.909 | INFO     | __main__:node_entry:76 - >>> 节点执行完成: node_entry
2026-06-03 22:37:53.031 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 22:37:53.652 | INFO     | __main__:node_pdf_to_md:42 - >>> 开始执行节点: node_pdf_to_md
2026-06-03 22:37:53.652 | INFO     | __main__:step_1_validate_paths:98 - PDF路径: E:\agent\PythonProject\dataset_rag\doc\hak180产品安全手册.pdf
2026-06-03 22:37:53.652 | INFO     | __main__:step_1_validate_paths:99 - 输出目录: E:\agent\PythonProject\dataset_rag\output
2026-06-03 22:37:53.653 | INFO     | __main__:step_2_upload_and_poll:108 - 【step_2】开始处理PDF: hak180产品安全手册.pdf
2026-06-03 22:37:53.653 | INFO     | __main__:step_2_upload_and_poll:129 - 请求上传URL: https://mineru.net/api/v4/file-urls/batch
2026-06-03 22:37:53.997 | ERROR    | __main__:step_2_upload_and_poll:204 - MinerU API调用失败: 获取上传URL失败: 401
2026-06-03 22:37:53.997 | WARNING  | __main__:step_2_upload_and_poll:205 - 使用模拟模式继续
2026-06-03 22:37:53.997 | INFO     | __main__:_mock_upload:211 - 【模拟模式】处理PDF: hak180产品安全手册.pdf
2026-06-03 22:37:54.999 | INFO     | __main__:step_3_download_and_extract:220 - 【step_3】开始处理ZIP: https://mock.example.com/hak180产品安全手册_result.zip
2026-06-03 22:37:55.256 | WARNING  | __main__:step_3_download_and_extract:263 - 下载/解压失败: HTTPSConnectionPool(host='mock.example.com', port=443): Max retries exceeded with url: /hak180%E4%BA%A7%E5%93%81%E5%AE%89%E5%85%A8%E6%89%8B%E5%86%8C_result.zip (Caused by NameResolutionError("HTTPSConnection(host='mock.example.com', port=443): Failed to resolve 'mock.example.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-03 22:37:55.256 | INFO     | __main__:step_3_download_and_extract:266 - 使用模拟MD文件
2026-06-03 22:37:55.257 | INFO     | __main__:node_pdf_to_md:59 - 【node_pdf_to_md】MD文件生成成功: E:\agent\PythonProject\dataset_rag\output\hak180产品安全手册\hak180产品安全手册.md
2026-06-03 22:37:55.264 | INFO     | __main__:node_pdf_to_md:65 - 【node_pdf_to_md】MD内容读取成功，长度: 111 字符
2026-06-03 22:37:55.264 | INFO     | __main__:node_pdf_to_md:75 - >>> 节点执行完成: node_pdf_to_md
2026-06-03 22:39:05.967 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 22:39:24.922 | ERROR    | app.clients.minio_utils:<module>:46 - MinIO客户端初始化失败，错误信息：HTTPConnectionPool(host='47.94.86.115', port=9000): Max retries exceeded with url: /knowledge-base-files?location= (Caused by NewConnectionError("HTTPConnection(host='47.94.86.115', port=9000): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。"))
2026-06-03 22:41:05.695 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 22:41:06.029 | INFO     | __main__:node_md_img:18 - >>> 开始执行节点: node_md_img
2026-06-03 22:41:06.029 | INFO     | __main__:node_md_img:23 - 【简化版】跳过图片处理
2026-06-03 22:41:06.030 | INFO     | __main__:node_md_img:26 - >>> 节点执行完成: node_md_img
2026-06-03 22:41:16.750 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 22:41:17.046 | INFO     | __main__:node_document_split:38 - >>> 开始执行节点: node_document_split
2026-06-03 22:41:17.046 | INFO     | __main__:step_1_get_inputs:90 - MD内容长度: 282 字符
2026-06-03 22:41:17.046 | INFO     | __main__:step_2_split_by_titles:140 - 按标题切分完成，共 7 个章节
2026-06-03 22:41:17.046 | INFO     | __main__:step_3_refine_chunks:164 - 精细化处理完成: 7 -> 7 -> 1
2026-06-03 22:41:17.047 | INFO     | __main__:step_4_save_chunks:249 - Chunk结果已保存: E:\agent\PythonProject\dataset_rag\output\test_split\chunks.json
2026-06-03 22:41:17.047 | INFO     | __main__:node_document_split:59 - 切分完成，共生成 1 个Chunk
2026-06-03 22:41:17.048 | INFO     | __main__:node_document_split:66 - >>> 节点执行完成: node_document_split
2026-06-03 22:41:38.529 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 22:53:47.026 | INFO     | app.core.logger:<module>:83 - 日志系统初始化成功
2026-06-03 22:53:48.963 | INFO     | __main__:node_item_name_recognition:36 - >>> 开始执行节点: node_item_name_recognition
2026-06-03 22:53:48.963 | INFO     | __main__:step_1_get_inputs:82 - 文件标题: hak180产品安全手册, 切片数量: 2
